Date,Open,High,Low,Close,Volume,Adj Close
18-04-2016,845.05,860.65,845,853.3,2926500,853.3
15-04-2016,837.55,837.55,837.55,837.55,0,837.55
14-04-2016,837.55,837.55,837.55,837.55,0,837.55
13-04-2016,844.95,846.5,835.15,837.55,1318200,837.55
12-04-2016,843,845,831.25,839.65,709600,839.65
11-04-2016,836.45,841.95,824.4,839.3,970200,839.3
08-04-2016,831.85,836,825.6,833.1,722800,833.1
07-04-2016,846.9,846.9,827,828.45,940800,828.45
06-04-2016,847,847.95,826.1,838.75,1082900,838.75
05-04-2016,839.85,848.9,832.55,843.25,2499800,843.25
04-04-2016,815,841.95,815,839.85,2830900,839.85
01-04-2016,820,824,807,820.4,2664800,820.4
31-03-2016,815,824.5,809.9,814.1,4586900,814.1
30-03-2016,805.45,822,805.45,820.6,2302300,820.6
29-03-2016,814.6,816.2,799.9,806.8,2531600,806.8
28-03-2016,819.9,826.5,806.45,810.65,2957200,810.65
25-03-2016,817.7,817.7,817.7,817.7,0,817.7
24-03-2016,817.7,817.7,817.7,817.7,0,817.7
23-03-2016,828,830,813.4,817.7,2509300,817.7
22-03-2016,820.75,831,817,828.45,2733200,828.45
21-03-2016,828,828,815.2,822.55,1658200,822.55
18-03-2016,816,828.8,815,824.15,1661500,824.15
17-03-2016,820,829,810.55,815.3,1714800,815.3
16-03-2016,813.45,816.5,807.5,814.9,1218200,814.9
15-03-2016,826,826.95,810.5,811.85,1355600,811.85
14-03-2016,823.85,830.4,822,827.9,1426300,827.9
11-03-2016,817,825,812.5,823.05,2120500,823.05
10-03-2016,821.8,822.9,806.4,817.85,2507800,817.85
09-03-2016,813.95,818,801.35,815.65,6110700,815.65
08-03-2016,828,831.95,809.45,815.25,3245000,815.25
07-03-2016,835.4,835.4,835.4,835.4,0,835.4
04-03-2016,860.2,861.1,830.35,835.4,1777300,835.4
03-03-2016,865,866.35,851.6,859.3,1007900,859.3
02-03-2016,837,865,829.35,854.85,1639600,854.85
01-03-2016,813.9,841.4,809,832.15,1057200,832.15
29-02-2016,822,831.65,795,813.25,1547000,813.25
26-02-2016,814.35,832,814,824.65,1023900,824.65
25-02-2016,807,815,799.7,808.75,809800,808.75
24-02-2016,829.6,839,809,811.05,861100,811.05
23-02-2016,845,849,827,828.95,630400,828.95
22-02-2016,849.8,849.8,840.1,845.95,923700,845.95
19-02-2016,842,857,828.4,851.55,1183000,851.55
18-02-2016,829.05,847,827.35,843.95,1064500,843.95
17-02-2016,829.95,835,816.35,824.8,1360100,824.8
16-02-2016,825.1,837.9,819.25,824.3,1052200,824.3
15-02-2016,813,832.5,810.35,827.1,1380800,827.1
12-02-2016,814,825.85,784.95,798.25,1392400,798.25
11-02-2016,827.4,827.4,801.6,808,1619200,808
10-02-2016,815.5,833,807.6,827.4,1132600,827.4
09-02-2016,843,844,805.95,810.45,1667200,810.45
08-02-2016,866.1,868.95,846,849.75,805200,849.75
05-02-2016,877,877,858.35,869.65,983800,869.65
04-02-2016,855.1,874.8,848.95,867.35,1317300,867.35
