Date,Open,High,Low,Close,Volume,Adj Close
18-04-2016,1245.55005,1267.90002,1233.44995,1238.80005,753800,1238.80005
15-04-2016,1172.05005,1172.05005,1172.05005,1172.05005,0,1172.05005
14-04-2016,1172.05005,1172.05005,1172.05005,1172.05005,0,1172.05005
13-04-2016,1194,1195,1166.5,1172.05005,801800,1172.05005
12-04-2016,1185,1194.94995,1178.59998,1182.30005,170000,1182.30005
11-04-2016,1167,1187.25,1151.40002,1184.40002,147700,1184.40002
08-04-2016,1175,1178,1162.05005,1167.34998,92100,1167.34998
07-04-2016,1212,1214.84998,1164,1181.65002,5832000,1181.65002
06-04-2016,1224.5,1228,1197,1201.09998,103200,1201.09998
05-04-2016,1243,1243,1215,1218.59998,246600,1218.59998
04-04-2016,1212,1249.90002,1212,1243.55005,119100,1243.55005
01-04-2016,1212,1221.80005,1197,1205.90002,123200,1205.90002
31-03-2016,1210,1228.94995,1200.59998,1217.94995,113800,1217.94995
30-03-2016,1200,1209,1196,1205.80005,78500,1205.80005
29-03-2016,1200,1217.5,1191.59998,1198.94995,114500,1198.94995
28-03-2016,1229.94995,1234.65002,1196.19995,1204.69995,162200,1204.69995
25-03-2016,1207.75,1207.75,1207.75,1207.75,0,1207.75
24-03-2016,1207.75,1207.75,1207.75,1207.75,0,1207.75
23-03-2016,1189,1212,1181.94995,1207.75,159900,1207.75
22-03-2016,1194,1194,1172.30005,1189.90002,106800,1189.90002
21-03-2016,1187,1199,1180.19995,1195,120100,1195
18-03-2016,1161,1195.80005,1161,1190.19995,148300,1190.19995
17-03-2016,1156,1169.90002,1154,1160.19995,67100,1160.19995
16-03-2016,1139.94995,1154.90002,1132.05005,1152,69800,1152
15-03-2016,1146,1153.90002,1129,1134.34998,75900,1134.34998
14-03-2016,1150,1154.5,1138,1140.94995,74800,1140.94995
11-03-2016,1146,1156.09998,1139,1142.5,79100,1142.5
10-03-2016,1164,1164.09998,1142.94995,1145.94995,1577900,1145.94995
09-03-2016,1147,1183.80005,1144,1178.5,119600,1178.5
08-03-2016,1170,1190,1148,1163.55005,126700,1163.55005
07-03-2016,1170.55005,1170.55005,1170.55005,1170.55005,0,1170.55005
04-03-2016,1170,1184.40002,1160,1170.55005,125900,1170.55005
03-03-2016,1169,1192.90002,1155.15002,1169.15002,197000,1169.15002
02-03-2016,1132,1162,1125,1156.25,198900,1156.25
01-03-2016,1098,1131,1089,1124.5,126100,1124.5
29-02-2016,1130,1130,1069.34998,1083.75,215500,1083.75
26-02-2016,1113,1130.75,1113,1121.05005,160600,1121.05005
25-02-2016,1125,1130.40002,1102,1111.25,289800,1111.25
24-02-2016,1123,1143.94995,1119,1125.40002,205200,1125.40002
23-02-2016,1133,1133,1117.05005,1123.94995,79700,1123.94995
22-02-2016,1133,1133,1114.30005,1125.30005,107000,1125.30005
19-02-2016,1122.90002,1133.25,1114.65002,1124,74900,1124
18-02-2016,1097,1126.44995,1097,1122.69995,90700,1122.69995
17-02-2016,1082,1101.40002,1077,1095.44995,388300,1095.44995
16-02-2016,1090,1092,1075.15002,1081,290800,1081
15-02-2016,1090,1099.94995,1086.80005,1091.34998,1511000,1091.34998
12-02-2016,1086,1103.5,1067,1083.5,162800,1083.5
11-02-2016,1114,1114,1072.34998,1081.15002,122400,1081.15002
10-02-2016,1108,1127,1105.55005,1110.15002,119300,1110.15002
09-02-2016,1130,1130,1094,1109.30005,151200,1109.30005
08-02-2016,1170,1171.80005,1143.34998,1149.09998,105700,1149.09998
05-02-2016,1179,1185.44995,1172.09998,1174.94995,64200,1174.94995
04-02-2016,1164,1193.59998,1161.75,1179.90002,111100,1179.90002
03-02-2016,1171,1175,1152.69995,1158.15002,59000,1158.15002
02-02-2016,1172,1188.25,1168,1174.80005,159200,1174.80005
01-02-2016,1170,1179.84998,1163,1171.30005,81300,1171.30005
29-01-2016,1135,1169.69995,1132,1164.84998,253700,1164.84998
28-01-2016,1138,1142.5,1127.69995,1131.34998,51700,1131.34998
27-01-2016,1149.40002,1149.84998,1136,1138.34998,65100,1138.34998
26-01-2016,1137.65002,1137.65002,1137.65002,1137.65002,0,1137.65002
25-01-2016,1140,1146.94995,1125.59998,1137.65002,82900,1137.65002
22-01-2016,1140,1152,1130,1135.90002,114500,1135.90002
21-01-2016,1128,1142.5,1122.5,1136.5,158100,1136.5
20-01-2016,1139.09998,1145,1116.59998,1121.65002,210900,1121.65002
19-01-2016,1135,1158.69995,1129.5,1139.09998,357100,1139.09998
18-01-2016,1138,1161.44995,1128,1131.94995,182300,1131.94995
15-01-2016,1145,1163.44995,1136.55005,1140.19995,245700,1140.19995
14-01-2016,1068,1155,1054.94995,1128.69995,1741600,1128.69995
13-01-2016,1050,1090,1047.59998,1082.34998,246400,1082.34998
12-01-2016,1059,1061.5,1031.84998,1050.05005,139800,1050.05005
11-01-2016,1060,1069.44995,1052.5,1057.09998,257700,1057.09998
08-01-2016,1056,1068.5,1055.90002,1062.65002,84400,1062.65002
07-01-2016,1060,1067.94995,1048.30005,1051.25,96300,1051.25
