Date,Open,High,Low,Close,Volume,Adj Close
18-04-2016,211.75,211.75,206.1,207.55,3300100,207.55
15-04-2016,213.35,213.35,213.35,213.35,0,213.35
14-04-2016,213.35,213.35,213.35,213.35,0,213.35
13-04-2016,215,215.4,212.8,213.35,4291700,213.35
12-04-2016,207.85,212.65,207.15,211.35,4228800,211.35
11-04-2016,208.6,209.25,205.2,207.6,3461700,207.6
08-04-2016,207.8,209.45,205.65,206.15,1612100,206.15
07-04-2016,209.05,209.5,206.7,207.75,3363300,207.75
06-04-2016,206.7,208,204,206.1,2878300,206.1
05-04-2016,206,208.5,204.05,205.5,3271100,205.5
04-04-2016,208.45,208.65,204.55,207.3,3662600,207.3
01-04-2016,214.5,214.95,208.1,208.8,6844100,208.8
31-03-2016,214.7,217.55,212.15,214.1,12174400,214.1
30-03-2016,213,219,212.3,217.9,3899800,217.9
29-03-2016,215.95,216,210.7,212.25,3335400,212.25
28-03-2016,216.5,218.7,212.4,213.95,4803900,213.95
25-03-2016,214.6,214.6,214.6,214.6,0,214.6
24-03-2016,214.6,214.6,214.6,214.6,0,214.6
23-03-2016,216.4,217.75,211.9,214.6,3985400,214.6
22-03-2016,216.65,219.15,215,216.1,4407000,216.1
21-03-2016,214,217.5,213,216.65,3867800,216.65
18-03-2016,213.75,215,212.5,214.6,4517400,214.6
17-03-2016,208.55,214.9,208.5,212.25,5596200,212.25
16-03-2016,207.3,208.75,204.9,206.5,3459100,206.5
15-03-2016,206,207.9,205.05,207.4,3669600,206.65
14-03-2016,207.5,209,205.75,208.25,4999000,207.4969
11-03-2016,207.6,207.6,202.2,205.1,9508000,204.3583
10-03-2016,208.95,208.95,204.35,205.7,8978500,204.9561
09-03-2016,202,206,201.3,205.25,5125800,204.5078
08-03-2016,202.75,206.35,201,201.85,8172500,201.1201
07-03-2016,200.7,200.7,200.7,200.7,0,199.9742
04-03-2016,199.9,204.4,199,200.7,15015300,199.9742
03-03-2016,196.5,200.85,193.75,197.2,11244400,196.4869
02-03-2016,194.4,197.3,192.1,194.95,10349900,194.245
01-03-2016,193.9,193.9,188.55,191.5,15412000,190.8075
29-02-2016,217.25,221.1,192.5,194.1,15873200,193.3981
26-02-2016,217.4,218.55,214.1,216.05,2803800,215.2687
25-02-2016,212.4,217.8,209.6,216.25,3852300,215.468
24-02-2016,212.8,212.8,208.2,209.4,1745400,208.6428
23-02-2016,215.7,217.8,211.85,214.6,2395500,213.824
22-02-2016,212,215.1,210.7,214.4,2401200,213.6247
19-02-2016,206.95,212.1,206,211.15,3612700,210.3864
18-02-2016,203.65,210.6,203,209.1,5199700,208.3439
17-02-2016,200,202,197.2,200.35,4860000,199.6255
16-02-2016,203.65,206.1,198.1,199.95,6994000,199.2269
15-02-2016,198.6,201.2,194.65,200.35,4771800,199.6255
12-02-2016,200,200,187.75,193.25,6735100,192.5512
11-02-2016,213.8,213.9,200.05,203.15,5858000,202.4154
10-02-2016,213.85,216,210.8,213.5,2711100,212.7279
09-02-2016,210.9,219.55,210.5,218.15,2434400,217.3611
08-02-2016,220,220.2,211.65,214.05,1842700,213.276
05-02-2016,220.3,221.85,217.55,219.95,3807100,219.1546
04-02-2016,217.9,220.5,216.25,220,4011000,219.2044
03-02-2016,213.7,217,210.3,213.05,3229300,212.2796
02-02-2016,222.2,224.4,215.4,216.55,4600300,215.7669
01-02-2016,227.8,227.8,221.55,225.05,2548400,224.2362
