Date,Open,High,Low,Close,Volume,Adj Close
18-04-2016,1065.8,1066.8,1055.4,1064.75,4358100,1064.75
15-04-2016,1066.05,1066.05,1066.05,1066.05,0,1066.05
14-04-2016,1066.05,1066.05,1066.05,1066.05,0,1066.05
13-04-2016,1052.55,1069.9,1052.55,1066.05,3666100,1066.05
12-04-2016,1040.3,1057.45,1038.05,1047.4,2552000,1047.4
11-04-2016,1037,1045.5,1033,1040.3,2356300,1040.3
08-04-2016,1035.9,1054.45,1031.2,1036.35,3065700,1036.35
07-04-2016,1034.9,1048,1022.1,1037.25,2009000,1037.25
06-04-2016,1032.1,1036.7,1022.6,1033.75,1597900,1033.75
05-04-2016,1031.35,1042.4,1022.2,1026.95,2345100,1026.95
04-04-2016,1040,1042.2,1025.3,1035.05,1973200,1035.05
01-04-2016,1039.1,1046.3,1025,1034.45,2830100,1034.45
31-03-2016,1041,1056,1032.7,1045.2,7047900,1045.2
30-03-2016,1042.7,1051.75,1042.7,1047.05,3303700,1047.05
29-03-2016,1023.8,1042,1020.2,1036.25,3627900,1036.25
28-03-2016,1030,1031.7,1015.65,1020.4,4130500,1020.4
25-03-2016,1029.2,1029.2,1029.2,1029.2,0,1029.2
24-03-2016,1029.2,1029.2,1029.2,1029.2,0,1029.2
23-03-2016,1046.9,1046.9,1022.4,1029.2,3841600,1029.2
22-03-2016,1037,1052.25,1035.65,1047.85,3504900,1047.85
21-03-2016,1027.95,1041.5,1022.75,1037.3,2904800,1037.3
18-03-2016,1018.25,1030.15,1015.7,1027.2,3207200,1027.2
17-03-2016,1027,1036.9,1012,1016,3847700,1016
16-03-2016,1021,1025.8,1005.45,1021.75,2529000,1011.25
15-03-2016,1024,1027.85,1015.1,1020.5,2397300,1010.0128
14-03-2016,1019.1,1026.4,1012.95,1019.75,2715500,1009.2705
11-03-2016,1014.9,1029.55,1010.6,1014.5,3501600,1004.0745
10-03-2016,1042.05,1045.9,1009,1011.75,4733100,1001.3528
09-03-2016,1020,1043.9,1018.6,1041.7,2709800,1030.9949
08-03-2016,1007.5,1030.9,1007.5,1027,3022500,1016.446
07-03-2016,1006.4,1006.4,1006.4,1006.4,0,996.0578
04-03-2016,1014,1015,1003.5,1006.4,2054400,996.0578
